排名,球队,场次,胜场,平局,负场,进球,失球,净胜球,胜率,积分,阶段
1,利物浦,16,13,2,1,34,12,22,81%,41,常规赛
2,阿森纳,16,10,5,1,31,13,18,63%,35,常规赛
3,曼城,16,10,3,3,37,21,16,63%,33,常规赛
4,切尔西,16,9,5,2,30,17,13,56%,32,常规赛
5,诺丁汉,16,9,4,3,24,11,13,56%,31,常规赛
6,维拉,16,8,7,1,27,19,8,50%,31,常规赛
7,纽卡斯尔,15,9,2,4,30,19,11,60%,29,常规赛
8,富勒姆,16,7,5,4,25,23,2,44%,26,常规赛
9,布伦特,16,7,4,5,30,27,3,44%,25,常规赛
10,布赖顿,16,6,7,3,23,21,2,38%,25,常规赛
11,热刺,16,6,3,7,33,27,6,38%,21,常规赛
12,伯恩茅斯,15,6,3,6,19,14,5,40%,21,常规赛
13,曼联,16,6,3,7,21,25,-4,38%,21,常规赛
14,埃弗顿,16,4,8,4,22,19,3,25%,20,常规赛
15,水晶宫,16,5,5,6,19,23,-4,31%,20,常规赛
16,西汉姆联,16,5,3,8,20,30,-10,31%,18,常规赛
17,狼队,16,5,2,9,23,29,-6,31%,17,常规赛
18,莱切斯特,16,2,3,11,11,33,-22,13%,9,常规赛
19,伊普斯,16,1,4,11,13,36,-23,6%,7,常规赛
20,南安普敦,16,1,2,13,11,43,-32,6%,5,常规赛
