排名,球队,场次,胜场,平局,负场,进球,失球,净胜球,胜率,积分,阶段
1,利物浦,32,23,7,2,74,31,43,72%,76,常规赛
2,阿森纳,32,17,12,3,57,27,30,53%,63,常规赛
3,诺丁汉,32,17,6,9,51,38,13,53%,57,常规赛
4,纽卡斯尔,31,17,5,9,56,40,16,55%,56,常规赛
5,曼城,32,16,7,9,62,42,20,50%,55,常规赛
6,切尔西,32,15,9,8,56,39,17,47%,54,常规赛
7,维拉,32,15,9,8,49,46,3,47%,54,常规赛
8,富勒姆,31,13,9,9,47,42,5,42%,48,常规赛
9,布赖顿,32,12,12,8,51,49,2,38%,48,常规赛
10,伯恩茅斯,31,12,9,10,51,40,11,39%,45,常规赛
11,布伦特,32,12,7,13,52,48,4,38%,43,常规赛
12,水晶宫,31,11,10,10,41,40,1,35%,43,常规赛
13,埃弗顿,32,8,14,10,34,38,-4,25%,38,常规赛
14,曼联,32,10,8,14,38,45,-7,31%,38,常规赛
15,热刺,32,11,4,17,60,49,11,34%,37,常规赛
16,狼队,32,10,5,17,47,61,-14,31%,35,常规赛
17,西汉姆联,32,9,8,15,36,54,-18,28%,35,常规赛
18,伊普斯,32,4,9,19,33,67,-34,13%,21,常规赛
19,莱切斯特,32,4,6,22,27,72,-45,13%,18,常规赛
20,南安普敦,32,2,4,26,23,77,-54,6%,10,常规赛
